,Collection,PatientID,PatientName,PatientSex,StudyInstanceUID,StudyDate,StudyDescription,PatientAge,SeriesCount,SeriesInstanceUID,Modality,SeriesDescription,SeriesNumber,ManufacturerModelName,SoftwareVersions,Visibility,ImageCount,ProtocolName,SeriesDate
0,CC-Radiomics-Phantom-3,CCR-3-CT19,CCR-3-CT19,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.208886572774136460078734047551,2000-01-04,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.981437704816044848237662305065,RTSTRUCT,Control,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
1,CC-Radiomics-Phantom-3,CCR-3-CT19,CCR-3-CT19,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.208886572774136460078734047551,2000-01-04,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.544603105525321579463065284043,RTSTRUCT,Head,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
2,CC-Radiomics-Phantom-3,CCR-3-CT19,CCR-3-CT19,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.208886572774136460078734047551,2000-01-04,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.302209748199630519722274143253,RTSTRUCT,Chest,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
3,CC-Radiomics-Phantom-3,CCR-3-CT19,CCR-3-CT19,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.208886572774136460078734047551,2000-01-04,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.161410383692386372949715887881,CT,Head,1.000000,LightSpeed16,LightSpeedverrel,1,46,8.1 RT SIMULATION PELVIS,2000-01-04
4,CC-Radiomics-Phantom-3,CCR-3-CT19,CCR-3-CT19,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.208886572774136460078734047551,2000-01-04,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.259477754161532879925500426549,CT,Control,1.000000,LightSpeed16,LightSpeedverrel,1,78,8.1 RT SIMULATION PELVIS,2000-01-04
5,CC-Radiomics-Phantom-3,CCR-3-CT19,CCR-3-CT19,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.208886572774136460078734047551,2000-01-04,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.208517319402565193442239512571,CT,Chest,1.000000,LightSpeed16,LightSpeedverrel,1,234,8.1 RT SIMULATION PELVIS,2000-01-04
6,CC-Radiomics-Phantom-3,CCR-3-CT75,CCR-3-CT75,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.237839388322454422182675130104,1999-02-12,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.218547320685178921524104418243,RTSTRUCT,Chest,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
7,CC-Radiomics-Phantom-3,CCR-3-CT75,CCR-3-CT75,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.237839388322454422182675130104,1999-02-12,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.119284406686839103014795242081,RTSTRUCT,Control,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
8,CC-Radiomics-Phantom-3,CCR-3-CT75,CCR-3-CT75,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.237839388322454422182675130104,1999-02-12,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.853499311683656792807019957326,RTSTRUCT,Head,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
9,CC-Radiomics-Phantom-3,CCR-3-CT75,CCR-3-CT75,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.237839388322454422182675130104,1999-02-12,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.276228389919211363182045201236,CT,Chest,1.000000,LightSpeed16,LightSpeedverrel,1,111,8.1 RT SIMULATION PELVIS,2000-02-12
