,Collection,PatientID,PatientName,StudyInstanceUID,StudyDate,StudyDescription,SeriesCount,SeriesInstanceUID,Modality,SeriesDescription,SeriesNumber,Manufacturer,ManufacturerModelName,SoftwareVersions,Visibility,ImageCount,SeriesDate
0,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186756880.24,CT,SliceTh-5_SliceInc-2.5_ReconFilter-C,5170.000000,Philips,Mx8000 IDT 16,3.2.0,1,119,
1,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186756880.23,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,5169.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
2,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186756815.18,CT,SliceTh-2_SliceInc-1_ReconFilter-C,5168.000000,Philips,Mx8000 IDT 16,3.2.0,1,299,
3,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186756973.32,CT,SliceTh-2_SliceInc-1_ReconFilter-C,5172.000000,Philips,Mx8000 IDT 16,3.2.0,1,299,
4,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757037.37,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,5173.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
5,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757037.38,CT,SliceTh-5_SliceInc-2.5_ReconFilter-C,5174.000000,Philips,Mx8000 IDT 16,3.2.0,1,119,
6,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757182.48,CT,SliceTh-2_SliceInc-1_ReconFilter-C,5177.000000,Philips,Mx8000 IDT 16,3.2.0,1,299,
7,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757214.53,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,5178.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
8,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757214.54,CT,SliceTh-5_SliceInc-2.5_ReconFilter-C,5179.000000,Philips,Mx8000 IDT 16,3.2.0,1,119,
9,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757263.62,CT,SliceTh-2_SliceInc-1_ReconFilter-C,5181.000000,Philips,Mx8000 IDT 16,3.2.0,1,299,
10,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757303.67,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,5182.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
11,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757303.68,CT,SliceTh-5_SliceInc-2.5_ReconFilter-C,5183.000000,Philips,Mx8000 IDT 16,3.2.0,1,119,
