,fname,method,url,path_url,request_headers,request_body_trimmed,ok,status_code,reason,response_headers,response_text,elapsed_time,apparent_encoding,encoding
0,C:\Users\stborg\Downloads\DicomIssues\2.25.100396896053036838327729748688072152736.dcm,POST,https://sjbdicomnov11.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=1011a359a0d8e8120bdff2a2da6375c6', 'Content-Length': '1337834'}","b'--1011a359a0d8e8120bdff2a2da6375c6\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '408', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:cd1c3c48-dae5-4e35-9110-35d19d88eb67', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 10 Nov 2020 17:42:54 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""2.25.100396896053036838327729748688072152736""]},""00081190"":{""vr"":""UR"",""Value"":[""https://sjbdicomnov11.azurewebsites.net/studies/2.25.185320577304339382525212889304442143/series/2.25.29003537694964393110816020510707930746/instances/2.25.100396896053036838327729748688072152736""]}}]}}",0 days 00:00:08.357158000,ascii,utf-8
1,C:\Users\stborg\Downloads\DicomIssues\2.25.100488556321033580325456098400679702538.dcm,POST,https://sjbdicomnov11.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=9c0b8e0b5cf2b09d45a423870f083ba7', 'Content-Length': '526402'}","b'--9c0b8e0b5cf2b09d45a423870f083ba7\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '409', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:cd1c3c48-dae5-4e35-9110-35d19d88eb67', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 10 Nov 2020 17:42:54 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""2.25.100488556321033580325456098400679702538""]},""00081190"":{""vr"":""UR"",""Value"":[""https://sjbdicomnov11.azurewebsites.net/studies/2.25.263916267626722293569390930007441210/series/2.25.132079987750520324762643701435274652495/instances/2.25.100488556321033580325456098400679702538""]}}]}}",0 days 00:00:00.511975000,ascii,utf-8
2,C:\Users\stborg\Downloads\DicomIssues\2.25.10066875220899600622479895519066579928.dcm,POST,https://sjbdicomnov11.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=66ec3e6d19f2c91ee5388cdc91b2e24d', 'Content-Length': '1337834'}","b'--66ec3e6d19f2c91ee5388cdc91b2e24d\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '406', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:cd1c3c48-dae5-4e35-9110-35d19d88eb67', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 10 Nov 2020 17:42:55 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""2.25.10066875220899600622479895519066579928""]},""00081190"":{""vr"":""UR"",""Value"":[""https://sjbdicomnov11.azurewebsites.net/studies/2.25.185320577304339382525212889304442143/series/2.25.29003537694964393110816020510707930746/instances/2.25.10066875220899600622479895519066579928""]}}]}}",0 days 00:00:00.521413000,ascii,utf-8
3,C:\Users\stborg\Downloads\DicomIssues\2.25.100815694439946941654076219850793212073.dcm,POST,https://sjbdicomnov11.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=f5c9ca021a23509f55dd6e523b7be2da', 'Content-Length': '526540'}","b'--f5c9ca021a23509f55dd6e523b7be2da\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '409', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:cd1c3c48-dae5-4e35-9110-35d19d88eb67', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 10 Nov 2020 17:42:55 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""2.25.100815694439946941654076219850793212073""]},""00081190"":{""vr"":""UR"",""Value"":[""https://sjbdicomnov11.azurewebsites.net/studies/2.25.263916267626722293569390930007441210/series/2.25.156354294824657986888321592156046255093/instances/2.25.100815694439946941654076219850793212073""]}}]}}",0 days 00:00:00.432397000,ascii,utf-8
4,C:\Users\stborg\Downloads\DicomIssues\2.25.102071135707527988604045821936619734857.dcm,POST,https://sjbdicomnov11.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=7bd49970145e39c2f3496cfa0d89b8b4', 'Content-Length': '526544'}","b'--7bd49970145e39c2f3496cfa0d89b8b4\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '409', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:cd1c3c48-dae5-4e35-9110-35d19d88eb67', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 10 Nov 2020 17:42:55 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""2.25.102071135707527988604045821936619734857""]},""00081190"":{""vr"":""UR"",""Value"":[""https://sjbdicomnov11.azurewebsites.net/studies/2.25.263916267626722293569390930007441210/series/2.25.156354294824657986888321592156046255093/instances/2.25.102071135707527988604045821936619734857""]}}]}}",0 days 00:00:00.289420000,ascii,utf-8
5,C:\Users\stborg\Downloads\DicomIssues\2.25.104521651706684895824351416603671530652.dcm,POST,https://sjbdicomnov11.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=d1d6041225a78cbbd6fe184bcd5bdab4', 'Content-Length': '1337830'}","b'--d1d6041225a78cbbd6fe184bcd5bdab4\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '408', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:cd1c3c48-dae5-4e35-9110-35d19d88eb67', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 10 Nov 2020 17:42:56 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""2.25.104521651706684895824351416603671530652""]},""00081190"":{""vr"":""UR"",""Value"":[""https://sjbdicomnov11.azurewebsites.net/studies/2.25.185320577304339382525212889304442143/series/2.25.12423367123407513898664489497108762100/instances/2.25.104521651706684895824351416603671530652""]}}]}}",0 days 00:00:00.621500000,ascii,utf-8
6,C:\Users\stborg\Downloads\DicomIssues\2.25.104528560870621904446630919986508993833.dcm,POST,https://sjbdicomnov11.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=ae8040a6e3f90ef2be6cc84937ed6fa2', 'Content-Length': '1337830'}","b'--ae8040a6e3f90ef2be6cc84937ed6fa2\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '408', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:cd1c3c48-dae5-4e35-9110-35d19d88eb67', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 10 Nov 2020 17:42:57 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""2.25.104528560870621904446630919986508993833""]},""00081190"":{""vr"":""UR"",""Value"":[""https://sjbdicomnov11.azurewebsites.net/studies/2.25.185320577304339382525212889304442143/series/2.25.12423367123407513898664489497108762100/instances/2.25.104528560870621904446630919986508993833""]}}]}}",0 days 00:00:00.590844000,ascii,utf-8
7,C:\Users\stborg\Downloads\DicomIssues\2.25.104569678959913522556246035254136702064.dcm,POST,https://sjbdicomnov11.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=5a8adffe3b36f2d99c1ec082d9c159ef', 'Content-Length': '1337834'}","b'--5a8adffe3b36f2d99c1ec082d9c159ef\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '408', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:cd1c3c48-dae5-4e35-9110-35d19d88eb67', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 10 Nov 2020 17:42:57 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""2.25.104569678959913522556246035254136702064""]},""00081190"":{""vr"":""UR"",""Value"":[""https://sjbdicomnov11.azurewebsites.net/studies/2.25.185320577304339382525212889304442143/series/2.25.29003537694964393110816020510707930746/instances/2.25.104569678959913522556246035254136702064""]}}]}}",0 days 00:00:00.523036000,ascii,utf-8
8,C:\Users\stborg\Downloads\DicomIssues\2.25.10478340445132323888284621934510202705.dcm,POST,https://sjbdicomnov11.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=8903325738e7129ef16a1ba178450350', 'Content-Length': '1337834'}","b'--8903325738e7129ef16a1ba178450350\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '406', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:cd1c3c48-dae5-4e35-9110-35d19d88eb67', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 10 Nov 2020 17:42:58 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""2.25.10478340445132323888284621934510202705""]},""00081190"":{""vr"":""UR"",""Value"":[""https://sjbdicomnov11.azurewebsites.net/studies/2.25.185320577304339382525212889304442143/series/2.25.29003537694964393110816020510707930746/instances/2.25.10478340445132323888284621934510202705""]}}]}}",0 days 00:00:01.243462000,ascii,utf-8
9,C:\Users\stborg\Downloads\DicomIssues\2.25.105857612965726197859784267511890184462.dcm,POST,https://sjbdicomnov11.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=b37c721becf04219c853b74f5165324a', 'Content-Length': '1337830'}","b'--b37c721becf04219c853b74f5165324a\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '408', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:cd1c3c48-dae5-4e35-9110-35d19d88eb67', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 10 Nov 2020 17:42:59 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""2.25.105857612965726197859784267511890184462""]},""00081190"":{""vr"":""UR"",""Value"":[""https://sjbdicomnov11.azurewebsites.net/studies/2.25.185320577304339382525212889304442143/series/2.25.12423367123407513898664489497108762100/instances/2.25.105857612965726197859784267511890184462""]}}]}}",0 days 00:00:00.608063000,ascii,utf-8
