,fname,method,url,path_url,request_headers,request_body_trimmed,ok,status_code,reason,response_headers,response_text,elapsed_time,apparent_encoding,encoding
0,C:\!!delete4DLung\100_HM10395\07-02-2003-p4-14571\1.000000-P4P100S300I00003 Gated 0.0A-29193\1-001.dcm,POST,https://sjbdicomdemo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=0fdb43d1b019717288539d88ba659936', 'Content-Length': '526496'}","b'--0fdb43d1b019717288539d88ba659936\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '236', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:ef822fc3-ed27-4972-bfbf-2d8cb1518d69', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 07:07:00 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.3.6.1.4.1.14519.5.2.1.6834.5010.137738534451320802044707152865""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:02.047212000,ascii,utf-8
1,C:\!!delete4DLung\100_HM10395\07-02-2003-p4-14571\1.000000-P4P100S300I00003 Gated 0.0A-29193\1-002.dcm,POST,https://sjbdicomdemo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=0882944b4274b82f600b178548dc8300', 'Content-Length': '526496'}","b'--0882944b4274b82f600b178548dc8300\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '236', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:ef822fc3-ed27-4972-bfbf-2d8cb1518d69', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 07:07:02 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.3.6.1.4.1.14519.5.2.1.6834.5010.281373012247438280161273217036""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:01.688051000,ascii,utf-8
2,C:\!!delete4DLung\100_HM10395\07-02-2003-p4-14571\1.000000-P4P100S300I00003 Gated 0.0A-29193\1-003.dcm,POST,https://sjbdicomdemo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=da05ca9887a44c693450f6ba839c0443', 'Content-Length': '526496'}","b'--da05ca9887a44c693450f6ba839c0443\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '236', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:ef822fc3-ed27-4972-bfbf-2d8cb1518d69', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 07:07:03 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.3.6.1.4.1.14519.5.2.1.6834.5010.169241991802971349879591579789""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:01.571177000,ascii,utf-8
3,C:\!!delete4DLung\100_HM10395\07-02-2003-p4-14571\1.000000-P4P100S300I00003 Gated 0.0A-29193\1-004.dcm,POST,https://sjbdicomdemo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=af8454da27c899c4d89b5fc8134f973a', 'Content-Length': '526496'}","b'--af8454da27c899c4d89b5fc8134f973a\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '236', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:ef822fc3-ed27-4972-bfbf-2d8cb1518d69', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 07:07:03 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.3.6.1.4.1.14519.5.2.1.6834.5010.152792994403709697716307370077""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.315171000,ascii,utf-8
4,C:\!!delete4DLung\100_HM10395\07-02-2003-p4-14571\1.000000-P4P100S300I00003 Gated 0.0A-29193\1-005.dcm,POST,https://sjbdicomdemo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=d508da55203ce0bcab20f4a217c544a0', 'Content-Length': '526496'}","b'--d508da55203ce0bcab20f4a217c544a0\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '236', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:ef822fc3-ed27-4972-bfbf-2d8cb1518d69', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 07:07:03 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.3.6.1.4.1.14519.5.2.1.6834.5010.292466472618636828594833335663""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.342292000,ascii,utf-8
5,C:\!!delete4DLung\100_HM10395\07-02-2003-p4-14571\1.000000-P4P100S300I00003 Gated 0.0A-29193\1-006.dcm,POST,https://sjbdicomdemo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=25461487b4f08b3c96d7dd3e31a0a6a3', 'Content-Length': '526496'}","b'--25461487b4f08b3c96d7dd3e31a0a6a3\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '236', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:ef822fc3-ed27-4972-bfbf-2d8cb1518d69', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 07:07:04 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.3.6.1.4.1.14519.5.2.1.6834.5010.533052719654757104158795931661""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.283668000,ascii,utf-8
6,C:\!!delete4DLung\100_HM10395\07-02-2003-p4-14571\1.000000-P4P100S300I00003 Gated 0.0A-29193\1-007.dcm,POST,https://sjbdicomdemo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=30bd19034a27cf2c7135358f233dcba1', 'Content-Length': '526496'}","b'--30bd19034a27cf2c7135358f233dcba1\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '236', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:ef822fc3-ed27-4972-bfbf-2d8cb1518d69', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 07:07:04 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.3.6.1.4.1.14519.5.2.1.6834.5010.378119626956622931997638021137""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.305960000,ascii,utf-8
7,C:\!!delete4DLung\100_HM10395\07-02-2003-p4-14571\1.000000-P4P100S300I00003 Gated 0.0A-29193\1-008.dcm,POST,https://sjbdicomdemo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=b8b037f1fc7829ddbbdee4e1d9e7b7d1', 'Content-Length': '526496'}","b'--b8b037f1fc7829ddbbdee4e1d9e7b7d1\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '236', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:ef822fc3-ed27-4972-bfbf-2d8cb1518d69', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 07:07:05 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.3.6.1.4.1.14519.5.2.1.6834.5010.154128964615638668864497826873""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.303976000,ascii,utf-8
8,C:\!!delete4DLung\100_HM10395\07-02-2003-p4-14571\1.000000-P4P100S300I00003 Gated 0.0A-29193\1-009.dcm,POST,https://sjbdicomdemo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=cf3330bfdce8083e4e03c3d828749b41', 'Content-Length': '526496'}","b'--cf3330bfdce8083e4e03c3d828749b41\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '236', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:ef822fc3-ed27-4972-bfbf-2d8cb1518d69', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 07:07:05 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.3.6.1.4.1.14519.5.2.1.6834.5010.607914670755055068373946102132""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.451546000,ascii,utf-8
9,C:\!!delete4DLung\100_HM10395\07-02-2003-p4-14571\1.000000-P4P100S300I00003 Gated 0.0A-29193\1-010.dcm,POST,https://sjbdicomdemo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=7ba28849feea0ade422d9760e9d8cbb3', 'Content-Length': '526496'}","b'--7ba28849feea0ade422d9760e9d8cbb3\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '236', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:ef822fc3-ed27-4972-bfbf-2d8cb1518d69', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 07:07:05 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.3.6.1.4.1.14519.5.2.1.6834.5010.306045988762293487414795513612""]},""00081197"":{""vr"":""US"",""Value"":[45070]}}]}}",0 days 00:00:00.329270000,ascii,utf-8
