,fname,method,url,path_url,request_headers,request_body_trimmed,ok,status_code,reason,response_headers,response_text,elapsed_time,apparent_encoding,encoding
0,C:\githealth\dicom-samples\visus.com\case1\case1_008.dcm,POST,https://dicom-load-demo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=ed161f9a66be85194f7640ca2e3fa76d', 'Content-Length': '527920'}","b'--ed161f9a66be85194f7640ca2e3fa76d\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '422', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:e432a3bb-121f-41fe-aefa-8f6ff3495eb8', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 05:52:28 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.467""]},""00081190"":{""vr"":""UR"",""Value"":[""https://dicom-load-demo.azurewebsites.net/studies/1.2.276.0.50.192168001099.7810872.14547392.270/series/1.2.276.0.50.192168001099.7810872.14547392.458/instances/1.2.276.0.50.192168001099.7810872.14547392.467""]}}]}}",0 days 00:00:03.707028000,ascii,utf-8
1,C:\githealth\dicom-samples\visus.com\case1\case1_010.dcm,POST,https://dicom-load-demo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=31aa739d7bb322c44df18e55d5e131eb', 'Content-Length': '527920'}","b'--31aa739d7bb322c44df18e55d5e131eb\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '422', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:e432a3bb-121f-41fe-aefa-8f6ff3495eb8', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 05:52:30 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.469""]},""00081190"":{""vr"":""UR"",""Value"":[""https://dicom-load-demo.azurewebsites.net/studies/1.2.276.0.50.192168001099.7810872.14547392.270/series/1.2.276.0.50.192168001099.7810872.14547392.458/instances/1.2.276.0.50.192168001099.7810872.14547392.469""]}}]}}",0 days 00:00:00.967177000,ascii,utf-8
2,C:\githealth\dicom-samples\visus.com\case1\case1_012.dcm,POST,https://dicom-load-demo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=10608c96539a3f3d22ce325df53bb032', 'Content-Length': '527920'}","b'--10608c96539a3f3d22ce325df53bb032\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '422', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:e432a3bb-121f-41fe-aefa-8f6ff3495eb8', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 05:52:31 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.471""]},""00081190"":{""vr"":""UR"",""Value"":[""https://dicom-load-demo.azurewebsites.net/studies/1.2.276.0.50.192168001099.7810872.14547392.270/series/1.2.276.0.50.192168001099.7810872.14547392.458/instances/1.2.276.0.50.192168001099.7810872.14547392.471""]}}]}}",0 days 00:00:00.639086000,ascii,utf-8
3,C:\githealth\dicom-samples\visus.com\case1\case1_014.dcm,POST,https://dicom-load-demo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=8b958be538c02bac15a4d06d4b87aa3f', 'Content-Length': '527920'}","b'--8b958be538c02bac15a4d06d4b87aa3f\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '422', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:e432a3bb-121f-41fe-aefa-8f6ff3495eb8', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 05:52:32 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.473""]},""00081190"":{""vr"":""UR"",""Value"":[""https://dicom-load-demo.azurewebsites.net/studies/1.2.276.0.50.192168001099.7810872.14547392.270/series/1.2.276.0.50.192168001099.7810872.14547392.458/instances/1.2.276.0.50.192168001099.7810872.14547392.473""]}}]}}",0 days 00:00:00.627618000,ascii,utf-8
4,C:\githealth\dicom-samples\visus.com\case1\case1_016.dcm,POST,https://dicom-load-demo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=ae5f90848c4f4b5a5148e423ecea121d', 'Content-Length': '527920'}","b'--ae5f90848c4f4b5a5148e423ecea121d\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '422', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:e432a3bb-121f-41fe-aefa-8f6ff3495eb8', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 05:52:32 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.475""]},""00081190"":{""vr"":""UR"",""Value"":[""https://dicom-load-demo.azurewebsites.net/studies/1.2.276.0.50.192168001099.7810872.14547392.270/series/1.2.276.0.50.192168001099.7810872.14547392.458/instances/1.2.276.0.50.192168001099.7810872.14547392.475""]}}]}}",0 days 00:00:00.760213000,ascii,utf-8
5,C:\githealth\dicom-samples\visus.com\case1\case1_018.dcm,POST,https://dicom-load-demo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=767bddb7252c0b290ba0838b506e255e', 'Content-Length': '527920'}","b'--767bddb7252c0b290ba0838b506e255e\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '422', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:e432a3bb-121f-41fe-aefa-8f6ff3495eb8', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 05:52:33 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.477""]},""00081190"":{""vr"":""UR"",""Value"":[""https://dicom-load-demo.azurewebsites.net/studies/1.2.276.0.50.192168001099.7810872.14547392.270/series/1.2.276.0.50.192168001099.7810872.14547392.458/instances/1.2.276.0.50.192168001099.7810872.14547392.477""]}}]}}",0 days 00:00:00.805523000,ascii,utf-8
6,C:\githealth\dicom-samples\visus.com\case1\case1_020.dcm,POST,https://dicom-load-demo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=e103540ad448a66d86b2eb472dccbba0', 'Content-Length': '527920'}","b'--e103540ad448a66d86b2eb472dccbba0\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '422', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:e432a3bb-121f-41fe-aefa-8f6ff3495eb8', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 05:52:34 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.479""]},""00081190"":{""vr"":""UR"",""Value"":[""https://dicom-load-demo.azurewebsites.net/studies/1.2.276.0.50.192168001099.7810872.14547392.270/series/1.2.276.0.50.192168001099.7810872.14547392.458/instances/1.2.276.0.50.192168001099.7810872.14547392.479""]}}]}}",0 days 00:00:00.802796000,ascii,utf-8
7,C:\githealth\dicom-samples\visus.com\case1\case1_022.dcm,POST,https://dicom-load-demo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=9e9ba001bc11d455669fd01e72c70f9c', 'Content-Length': '527920'}","b'--9e9ba001bc11d455669fd01e72c70f9c\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '422', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:e432a3bb-121f-41fe-aefa-8f6ff3495eb8', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 05:52:35 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.481""]},""00081190"":{""vr"":""UR"",""Value"":[""https://dicom-load-demo.azurewebsites.net/studies/1.2.276.0.50.192168001099.7810872.14547392.270/series/1.2.276.0.50.192168001099.7810872.14547392.458/instances/1.2.276.0.50.192168001099.7810872.14547392.481""]}}]}}",0 days 00:00:00.561526000,ascii,utf-8
8,C:\githealth\dicom-samples\visus.com\case1\case1_024.dcm,POST,https://dicom-load-demo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=b96b1a44f5a39c2a31f214a2e36c1e20', 'Content-Length': '527920'}","b'--b96b1a44f5a39c2a31f214a2e36c1e20\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '422', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:e432a3bb-121f-41fe-aefa-8f6ff3495eb8', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 05:52:35 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.483""]},""00081190"":{""vr"":""UR"",""Value"":[""https://dicom-load-demo.azurewebsites.net/studies/1.2.276.0.50.192168001099.7810872.14547392.270/series/1.2.276.0.50.192168001099.7810872.14547392.458/instances/1.2.276.0.50.192168001099.7810872.14547392.483""]}}]}}",0 days 00:00:01.044776000,ascii,utf-8
9,C:\githealth\dicom-samples\visus.com\case1\case1_026.dcm,POST,https://dicom-load-demo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=9bce6f67012ae3363ffed17e75202bb8', 'Content-Length': '527920'}","b'--9bce6f67012ae3363ffed17e75202bb8\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '422', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:e432a3bb-121f-41fe-aefa-8f6ff3495eb8', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 05:52:36 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.485""]},""00081190"":{""vr"":""UR"",""Value"":[""https://dicom-load-demo.azurewebsites.net/studies/1.2.276.0.50.192168001099.7810872.14547392.270/series/1.2.276.0.50.192168001099.7810872.14547392.458/instances/1.2.276.0.50.192168001099.7810872.14547392.485""]}}]}}",0 days 00:00:01.614840000,ascii,utf-8
10,C:\githealth\dicom-samples\visus.com\case1\case1_028.dcm,POST,https://dicom-load-demo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=d4d117c4c2a6d4697405218d76b832eb', 'Content-Length': '527920'}","b'--d4d117c4c2a6d4697405218d76b832eb\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '422', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:e432a3bb-121f-41fe-aefa-8f6ff3495eb8', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 05:52:39 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.487""]},""00081190"":{""vr"":""UR"",""Value"":[""https://dicom-load-demo.azurewebsites.net/studies/1.2.276.0.50.192168001099.7810872.14547392.270/series/1.2.276.0.50.192168001099.7810872.14547392.458/instances/1.2.276.0.50.192168001099.7810872.14547392.487""]}}]}}",0 days 00:00:00.810854000,ascii,utf-8
11,C:\githealth\dicom-samples\visus.com\case1\case1_030.dcm,POST,https://dicom-load-demo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=8cd206ef4da18c437fceae4b91c9f71a', 'Content-Length': '527920'}","b'--8cd206ef4da18c437fceae4b91c9f71a\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '422', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:e432a3bb-121f-41fe-aefa-8f6ff3495eb8', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 05:52:39 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.489""]},""00081190"":{""vr"":""UR"",""Value"":[""https://dicom-load-demo.azurewebsites.net/studies/1.2.276.0.50.192168001099.7810872.14547392.270/series/1.2.276.0.50.192168001099.7810872.14547392.458/instances/1.2.276.0.50.192168001099.7810872.14547392.489""]}}]}}",0 days 00:00:00.810365000,ascii,utf-8
12,C:\githealth\dicom-samples\visus.com\case1\case1_032.dcm,POST,https://dicom-load-demo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=89fe7ed45627ce5981ce3b27b0a9ca78', 'Content-Length': '527920'}","b'--89fe7ed45627ce5981ce3b27b0a9ca78\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '422', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:e432a3bb-121f-41fe-aefa-8f6ff3495eb8', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 05:52:40 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.491""]},""00081190"":{""vr"":""UR"",""Value"":[""https://dicom-load-demo.azurewebsites.net/studies/1.2.276.0.50.192168001099.7810872.14547392.270/series/1.2.276.0.50.192168001099.7810872.14547392.458/instances/1.2.276.0.50.192168001099.7810872.14547392.491""]}}]}}",0 days 00:00:00.597310000,ascii,utf-8
13,C:\githealth\dicom-samples\visus.com\case1\case1_034.dcm,POST,https://dicom-load-demo.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=7b1696183f2d9a77910ae403577920a3', 'Content-Length': '527920'}","b'--7b1696183f2d9a77910ae403577920a3\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",True,200,OK,"{'Content-Length': '422', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:e432a3bb-121f-41fe-aefa-8f6ff3495eb8', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 22 Apr 2020 05:52:40 GMT'}","{""00081199"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.276.0.50.192168001099.7810872.14547392.493""]},""00081190"":{""vr"":""UR"",""Value"":[""https://dicom-load-demo.azurewebsites.net/studies/1.2.276.0.50.192168001099.7810872.14547392.270/series/1.2.276.0.50.192168001099.7810872.14547392.458/instances/1.2.276.0.50.192168001099.7810872.14547392.493""]}}]}}",0 days 00:00:00.725650000,ascii,utf-8
