,fname,method,url,path_url,request_headers,request_body_trimmed,ok,status_code,reason,response_headers,response_text,elapsed_time,apparent_encoding,encoding
0,C:\githealth\!dicomfiles\dicom-samples\barre.dev\MR-MONO2-8-16x-heart.dcm,POST,https://dicom-bb-0520.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=5361e2178d90df072a77c4b53a7ca386', 'Content-Length': '1049674'}","b'--5361e2178d90df072a77c4b53a7ca386\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '203', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:159feab7-4b5d-4a25-96ff-05c82c711e81', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 20 May 2020 22:07:43 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.4""]},""00081155"":{""vr"":""UI"",""Value"":[""999.999.2.19960619.163000.1.103""]},""00081197"":{""vr"":""US"",""Value"":[43264]}}]}}",0 days 00:00:00.699108000,ascii,utf-8
1,C:\githealth\!dicomfiles\dicom-samples\barre.dev\XA-MONO2-8-12x-catheter.dcm,POST,https://dicom-bb-0520.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=b49a5f9cb21fbb2c5dda6b120027a03b', 'Content-Length': '921256'}","b'--b49a5f9cb21fbb2c5dda6b120027a03b\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '206', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:159feab7-4b5d-4a25-96ff-05c82c711e81', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 20 May 2020 22:07:42 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.12.1""]},""00081155"":{""vr"":""UI"",""Value"":[""999.999.1.19941016.083000.5.104""]},""00081197"":{""vr"":""US"",""Value"":[43264]}}]}}",0 days 00:00:00.269668000,ascii,utf-8
2,C:\githealth\!dicomfiles\dicom-samples\dicomlibrary.com\series-000001\image-000001.dcm,POST,https://dicom-bb-0520.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=64350a40ec0e4fd6aadb84641fd2a1dc', 'Content-Length': '91428'}","b'--64350a40ec0e4fd6aadb84641fd2a1dc\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '234', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:159feab7-4b5d-4a25-96ff-05c82c711e81', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 20 May 2020 22:07:42 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.826.0.1.3680043.8.1055.1.20111102150758591.03296050.69180943""]},""00081197"":{""vr"":""US"",""Value"":[272]}}]}}",0 days 00:00:00.348131000,ascii,utf-8
3,C:\githealth\!dicomfiles\dicom-samples\dicomlibrary.com\series-000001\image-000002.dcm,POST,https://dicom-bb-0520.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=47996f5088a335ef168842e2c508e43e', 'Content-Length': '91672'}","b'--47996f5088a335ef168842e2c508e43e\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '234', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:159feab7-4b5d-4a25-96ff-05c82c711e81', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 20 May 2020 22:07:43 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.826.0.1.3680043.8.1055.1.20111102150758825.42401392.26682309""]},""00081197"":{""vr"":""US"",""Value"":[272]}}]}}",0 days 00:00:00.211050000,ascii,utf-8
4,C:\githealth\!dicomfiles\dicom-samples\dicomlibrary.com\series-000001\image-000003.dcm,POST,https://dicom-bb-0520.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=1ccd4ad8bca97b689f21b3b92b85977e', 'Content-Length': '95010'}","b'--1ccd4ad8bca97b689f21b3b92b85977e\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '234', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:159feab7-4b5d-4a25-96ff-05c82c711e81', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 20 May 2020 22:07:43 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.826.0.1.3680043.8.1055.1.20111102150758919.89586840.29439911""]},""00081197"":{""vr"":""US"",""Value"":[272]}}]}}",0 days 00:00:00.184350000,ascii,utf-8
5,C:\githealth\!dicomfiles\dicom-samples\dicomlibrary.com\series-000001\image-000004.dcm,POST,https://dicom-bb-0520.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=d66a05abe40522a18166ae6fe7ff5dca', 'Content-Length': '91360'}","b'--d66a05abe40522a18166ae6fe7ff5dca\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '234', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:159feab7-4b5d-4a25-96ff-05c82c711e81', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 20 May 2020 22:07:44 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.826.0.1.3680043.8.1055.1.20111102150758997.22494556.03019111""]},""00081197"":{""vr"":""US"",""Value"":[272]}}]}}",0 days 00:00:00.195044000,ascii,utf-8
6,C:\githealth\!dicomfiles\dicom-samples\dicomlibrary.com\series-000001\image-000005.dcm,POST,https://dicom-bb-0520.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=c46c938923a86da14b78f10e8979b3c1', 'Content-Length': '91442'}","b'--c46c938923a86da14b78f10e8979b3c1\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '234', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:159feab7-4b5d-4a25-96ff-05c82c711e81', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 20 May 2020 22:07:43 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.826.0.1.3680043.8.1055.1.20111102150759059.64998534.33344836""]},""00081197"":{""vr"":""US"",""Value"":[272]}}]}}",0 days 00:00:00.185501000,ascii,utf-8
7,C:\githealth\!dicomfiles\dicom-samples\dicomlibrary.com\series-000001\image-000006.dcm,POST,https://dicom-bb-0520.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=61bdc64af1277ced3d0f67b3e8b70b02', 'Content-Length': '95704'}","b'--61bdc64af1277ced3d0f67b3e8b70b02\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '234', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:159feab7-4b5d-4a25-96ff-05c82c711e81', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 20 May 2020 22:07:44 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.826.0.1.3680043.8.1055.1.20111102150759122.72299459.20444569""]},""00081197"":{""vr"":""US"",""Value"":[272]}}]}}",0 days 00:00:00.179765000,ascii,utf-8
8,C:\githealth\!dicomfiles\dicom-samples\dicomlibrary.com\series-000001\image-000007.dcm,POST,https://dicom-bb-0520.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=2756d503f61cc349fae30b8f60fc6fb9', 'Content-Length': '91792'}","b'--2756d503f61cc349fae30b8f60fc6fb9\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '234', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:159feab7-4b5d-4a25-96ff-05c82c711e81', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 20 May 2020 22:07:44 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.826.0.1.3680043.8.1055.1.20111102150759200.62929420.61555491""]},""00081197"":{""vr"":""US"",""Value"":[272]}}]}}",0 days 00:00:00.264515000,ascii,utf-8
9,C:\githealth\!dicomfiles\dicom-samples\dicomlibrary.com\series-000001\image-000008.dcm,POST,https://dicom-bb-0520.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=842eb5d71b033befe3b97061484838ce', 'Content-Length': '91866'}","b'--842eb5d71b033befe3b97061484838ce\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '234', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:159feab7-4b5d-4a25-96ff-05c82c711e81', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Wed, 20 May 2020 22:07:45 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.826.0.1.3680043.8.1055.1.20111102150759278.17477298.74845291""]},""00081197"":{""vr"":""US"",""Value"":[272]}}]}}",0 days 00:00:00.200889000,ascii,utf-8
