,fname,method,url,path_url,request_headers,request_body_trimmed,ok,status_code,reason,response_headers,response_text,elapsed_time,apparent_encoding,encoding
0,C:\githealth\dicom-samples\dicomlibrary.com\series-000001\image-000001.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=7a1c47aac5459a883422e8009ae94014', 'Content-Length': '91428'}","b'--7a1c47aac5459a883422e8009ae94014\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,500,Internal Server Error,"{'Content-Length': '114', 'Content-Type': 'text/plain; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:21:21 GMT'}","The server encountered an internal error. Please retry the request. If the issue persists, please contact support.",0 days 00:00:00.370581000,ascii,utf-8
1,C:\githealth\dicom-samples\dicomlibrary.com\series-000001\image-000002.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=bad36ac75467574129b5cd4b14bac169', 'Content-Length': '91672'}","b'--bad36ac75467574129b5cd4b14bac169\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '234', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:21:22 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.826.0.1.3680043.8.1055.1.20111102150758825.42401392.26682309""]},""00081197"":{""vr"":""US"",""Value"":[272]}}]}}",0 days 00:00:00.160145000,ascii,utf-8
2,C:\githealth\dicom-samples\dicomlibrary.com\series-000001\image-000003.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=09bc8e815fcdf1f27311fe20ff7ce0c5', 'Content-Length': '95010'}","b'--09bc8e815fcdf1f27311fe20ff7ce0c5\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '234', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:21:22 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.826.0.1.3680043.8.1055.1.20111102150758919.89586840.29439911""]},""00081197"":{""vr"":""US"",""Value"":[272]}}]}}",0 days 00:00:00.168624000,ascii,utf-8
3,C:\githealth\dicom-samples\dicomlibrary.com\series-000001\image-000004.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=54e9f159a11a170d83636e3c8abd539f', 'Content-Length': '91360'}","b'--54e9f159a11a170d83636e3c8abd539f\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,500,Internal Server Error,"{'Content-Length': '114', 'Content-Type': 'text/plain; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:21:22 GMT'}","The server encountered an internal error. Please retry the request. If the issue persists, please contact support.",0 days 00:00:00.357080000,ascii,utf-8
4,C:\githealth\dicom-samples\dicomlibrary.com\series-000001\image-000005.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=72aac4e2393c73564d90abfce9dbf21a', 'Content-Length': '91442'}","b'--72aac4e2393c73564d90abfce9dbf21a\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '234', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:21:22 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.826.0.1.3680043.8.1055.1.20111102150759059.64998534.33344836""]},""00081197"":{""vr"":""US"",""Value"":[272]}}]}}",0 days 00:00:00.182083000,ascii,utf-8
5,C:\githealth\dicom-samples\dicomlibrary.com\series-000001\image-000006.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=a3dcf015411df4fda3cb07aeafe10d37', 'Content-Length': '95704'}","b'--a3dcf015411df4fda3cb07aeafe10d37\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '234', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:21:23 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.826.0.1.3680043.8.1055.1.20111102150759122.72299459.20444569""]},""00081197"":{""vr"":""US"",""Value"":[272]}}]}}",0 days 00:00:00.181693000,ascii,utf-8
6,C:\githealth\dicom-samples\dicomlibrary.com\series-000001\image-000007.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=4c06ca5043c5338f22a21eae3bb02e29', 'Content-Length': '91792'}","b'--4c06ca5043c5338f22a21eae3bb02e29\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '234', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:21:23 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.826.0.1.3680043.8.1055.1.20111102150759200.62929420.61555491""]},""00081197"":{""vr"":""US"",""Value"":[272]}}]}}",0 days 00:00:00.158621000,ascii,utf-8
7,C:\githealth\dicom-samples\dicomlibrary.com\series-000001\image-000008.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=b67700fd06636ba17245abd81413f823', 'Content-Length': '91866'}","b'--b67700fd06636ba17245abd81413f823\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '234', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:21:23 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.826.0.1.3680043.8.1055.1.20111102150759278.17477298.74845291""]},""00081197"":{""vr"":""US"",""Value"":[272]}}]}}",0 days 00:00:00.169025000,ascii,utf-8
8,C:\githealth\dicom-samples\dicomlibrary.com\series-000001\image-000009.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=736de214cfda9148db6a8f5993222012', 'Content-Length': '91932'}","b'--736de214cfda9148db6a8f5993222012\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,500,Internal Server Error,"{'Content-Length': '114', 'Content-Type': 'text/plain; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:21:23 GMT'}","The server encountered an internal error. Please retry the request. If the issue persists, please contact support.",0 days 00:00:00.805722000,ascii,utf-8
9,C:\githealth\dicom-samples\dicomlibrary.com\series-000001\image-000010.dcm,POST,https://sjbdicom2.azurewebsites.net/studies,/studies,"{'User-Agent': 'python-requests/2.23.0', 'Accept-Encoding': 'gzip, deflate', 'Accept': 'application/dicom+json', 'Connection': 'keep-alive', 'Content-Type': 'multipart/related; boundary=035c0ecbe7f9fc7f8dec0059800004bb', 'Content-Length': '91836'}","b'--035c0ecbe7f9fc7f8dec0059800004bb\r\nContent-Disposition: form-data; name=""file""; filename=""dicomfile""\r\nContent-Type: application/dicom\r\n\r\n\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",False,409,Conflict,"{'Content-Length': '234', 'Content-Type': 'application/dicom+json; charset=utf-8', 'Server': 'Microsoft-IIS/10.0', 'Request-Context': 'appId=cid-v1:be5422fb-ccaa-4f0e-9a84-86cf4c3f0089', 'X-Content-Type-Options': 'nosniff', 'X-Powered-By': 'ASP.NET', 'Date': 'Tue, 12 May 2020 04:21:24 GMT'}","{""00081198"":{""vr"":""SQ"",""Value"":[{""00081150"":{""vr"":""UI"",""Value"":[""1.2.840.10008.5.1.4.1.1.2""]},""00081155"":{""vr"":""UI"",""Value"":[""1.2.826.0.1.3680043.8.1055.1.20111102150759419.98760783.75639221""]},""00081197"":{""vr"":""US"",""Value"":[272]}}]}}",0 days 00:00:00.188287000,ascii,utf-8
